id;nome;cpf;situacao
1;Sabrina Campos da Fonseca;19100000000;ATIVO
2;Fernanda dos Santos Carvalho;19100000000;ATIVO
3;Lilia Maria Sousa Soares de Almeida;19100000000;ATIVO
4;Leonardo França de Oliveira;19100000000;ATIVO
5;Carla Karine Rodrigues da Silva;19100000000;ATIVO
6;Francielem Peres Ferreira da Silva;19100000000;ATIVO
7;Dayana Campos de Melo;19100000000;ATIVO
8;Janiele Alves Marinho;19100000000;ATIVO
9;Francisca Cleidiane Rodrigues Oliveira;19100000000;ATIVO
10;Deigiane Barbosa Inhuma;19100000000;ATIVO
11;Jozileia Pinto Santana;19100000000;ATIVO
12;Ana Vitória Auanario Galvão;19100000000;ATIVO
13;Nayandra Souza de Almeida;19100000000;ATIVO
14;Rômulo Gabriel dos Santos Silva;19100000000;ATIVO
15;Soian Patrícia Galucio Serrão;19100000000;ATIVO
