id;login;senha;nome;cpf;email;telefone;endereco
1;Buckinghamshire Internal;SDD multimedia Soft;synthesize;30973;Abe_Mertz@gmail.com;Rustic Soft Bike iterate connecting;system South Dakota FTP
2;Somoni redundant;program California;Handmade;51180;Earline_Hermann14@yahoo.com;Triple-buffered;payment indigo
3;cross-platform deposit Solutions;capacitor Facilitator;Handcrafted Rubber Pants Fantastic Concrete Towels;79398;Fleta.Littel@yahoo.com;microchip;Legacy
4;Face to face Cyprus;navigating;Credit Card Account Corporate;9611;Bettie33@hotmail.com;motivating Auto Loan Account radical;Bedfordshire
5;Intuitive;impactful Beauty Human;Open-source transmitter Oklahoma;8377;Ubaldo.Kemmer@yahoo.com;reciprocal;Money Market Account
6;Executive CSS;Avon bypassing US Dollar;invoice;30702;Korey53@gmail.com;Alabama;Checking Account Avon Sleek
7;Fords customized alarm;extend Ways;deposit technologies;67514;Oceane.Ruecker14@yahoo.com;Won;withdrawal
8;primary;Meadow XML;Rustic Papua New Guinea;44083;Nellie.Schaden@gmail.com;next generation Slovakia (Slovak Republic) SMS;THX
9;input Virginia Assimilated;XSS;parsing Jersey;49495;Dino87@yahoo.com;Cambridgeshire Nevada;Home Loan Account Kroon
10;Investment Account synergize Unbranded;Lempira Kip;Djibouti backing up Small;27956;Eileen.Heller@yahoo.com;Tasty Solutions Table;Health
